source_song,matched_song,similarity
Make Your Move (New Found Glory),The Change (Evanescence),0.9206934305933053
Permanent Tears (Eagle-Eye Cherry),Driving With The Brakes On (Del Amitri),0.9206900579754872
Im So Tired (Fugazi),The Safest Place (Sade),0.9206893827288566
Dark Transmission (Vader),A Future Uncertain (Nevermore),0.9206863928740544
Another Chance (Roger Sanchez),Breathe Without You (Milk Inc.),0.9206812029220288
Anyone But You (RX Bandits),Curve of the Earth (Matt Nathanson),0.9206804284603815
Streets (Avenged Sevenfold),If Its Alright (Lindsay Lohan),0.9206791844264222
In Memory Of... (Soulfly),Pistol Grip Pump (Rage Against the Machine),0.9206726425548074
Thanks For Nothing (Dope),Party All Day (Steel Panther),0.9206700800178872
Demonoid Phenomenon (Rob Zombie),Im Raving (Scooter),0.9206564618263963
Autobahn Music Box (Cut Copy),我、闇とて･･･ (DIR EN GREY),0.9206540847501635
Black Stone Heart (Bauhaus),Long Live the King (Sabaton),0.9206518651655152
C-C-C-Cinnamon Lips (OK Go),Exit Wounds (Placebo),0.9206459021922265
White Willow (Elvenking),Aint Complaining (Beatsteaks),0.9206453347998653
The Final Sacrifice (Avantasia),The Idiot Box (Shadows Fall),0.9206444817371008
Your Love (The Outfield),Mystify (INXS),0.9206437706639921
Where Do We Go from Here? (Jamiroquai),Over and Over (Hot Chip),0.9206436881926908
Low Light (Pearl Jam),You On My Mind In My Sleep (Richard Ashcroft),0.9206436043422525
Satin Sheets (Silverchair),You Found Me (The Fray),0.9206427519733064
My Goodbyes (Saliva),Red Is The New Black (Funeral for a Friend),0.9206426588677691
Get Some (Chevelle),A Little Lie (Dave Gahan),0.920640341880586
Macho Nachos (Mad Caddies),Shaking (Sugarcult),0.9206392294185267
Anyone But You (RX Bandits),JUST MAD PAIN (RENTRER EN SOI),0.9206375283847293
Battlestar (Robert Babicz),Dextrous (Nightmares on Wax),0.9206353461225446
Beach (Mew),Ill Be Alright (Passion Pit),0.920634498232238
Some Kinda Rush (Booty Luv),Not If You Were The Last Junkie On Earth (The Dandy Warhols),0.9206343009629236
Speculum (Adema),Cant Take This (Orgy),0.9206337733002741
Too Little Too Late (JoJo),Hall of Fame (The Script),0.9206250304651831
En himmelsk drog (Kent),Constant Static (New Found Glory),0.9206229248739272
Satyr (Letzte Instanz),Not Enough (3 Doors Down),0.9206226039744798
The Spell (Kamelot),Anthem Part Two (blink-182),0.9206216184576151
Potato Girl (Our Lady Peace),Neither of Us Can See (Incubus),0.9206158472594583
Nuclear Generators (The Suicide Machines),Darker Times (In Flames),0.9206115181807644
Let It Out (Hoobastank),Chemicals Collide (Boys Like Girls),0.9206114364242882
Wouldnt Mama Be Proud? (Elliott Smith),JUST MAD PAIN (RENTRER EN SOI),0.9206102537085586
Begging (The Libertines),The Fighter (In This Moment),0.9206054341611388
Is It Any Wonder? (Keane),I Hate Love (Garbage),0.9206000782743377
Tested (Nasum),Soul Devourer (Krisiun),0.9205962949972019
Californias Lonely (Smile Empty Soul),Heaven Forbid (The Fray),0.9205943500909483
The Killing Lights (AFI),See the Sun (The Kooks),0.9205933597525763
Late Again (MxPx),Half-Truism (The Offspring),0.9205923264736309
257 Weeks (Nine Days),Head Games (Foreigner),0.9205888345365675
Veni Vedi Vici (Alizée),Closer Than This (St. Lucia),0.920582509024674
You Dress Up For Armageddon (The Hives),Darling Harbour (Silverstein),0.920582226693431
Say Just Words (Paradise Lost),POV (McFly),0.9205812899319662
Cant Take This (Orgy),Anthem Part Two (blink-182),0.9205793317463591
I Live For Your Pain (Helloween),Carved in Stone (Scar Symmetry),0.9205764517474013
11th Hour (Lamb of God),Knife Fight (Municipal Waste),0.920569852289358
If This Is Love (The Saturdays),Maneater (Nelly Furtado),0.9205697411146532
Given (Seether),Mosquito (Yeah Yeah Yeahs),0.9205677547612595
Fighting (Yellowcard),Godspeed (Anberlin),0.9205670341853004
Thats What She Said (The Automatic),A Story To Tell Your Friends (Every Avenue),0.9205583502085735
Watch Me Bleed (Tears for Fears),Bob and Bonnie (Houston Calls),0.920543159832561
White Dove (Starsailor),Possibility (Lykke Li),0.9205401271853653
Easy Target (blink-182),The Church Of Hot Addiction (Cobra Starship),0.9205384169563929
Space Travel (Yellowcard),Truth (Seether),0.9205380469984961
And I (Box Car Racer),More (Usher),0.9205372540399138
Crazy For This Girl (Evan and Jaron),Hunting High And Low (Freedom Call),0.9205365310274503
Tell no one about tonight (Le Sport),Solow (Ohgr),0.9205348265173381
Watch Me Bleed (Tears for Fears),Losing Control (This Providence),0.9205177583430176
Beng Beng Beng (Femi Kuti),Default (Django Django),0.9205168628175107
Kickstarts (Example),Tell Me a Lie (One Direction),0.9205147288060687
Dobermann (Dark Tranquillity),Back Round (Wolfmother),0.9205135832215688
Promised Land Blues (Culture Kultür),Massive (Ralphie B),0.9205055585457149
Nuit blanche (Vive La Fête),Oh Sheila (Ready For The World),0.9205052508443876
Seattle (Public Image Ltd.),When I Come Around (Green Day),0.9205038914551686
Purify (Metallica),Borrowed Time (Architects),0.920503583115603
Let It Out (Hoobastank),Saturday Morning (Eels),0.9205009106324092
Flowers And Razorwire (Converge),Lost Forever (Van Canto),0.9205003707642146
Deaf Forever (Motörhead),Dirty Window (Metallica),0.9205001739233014
Perseverance (Hatebreed),Third Season (AFI),0.920496623111364
Shadowland (Kreator),Kairos (Sepultura),0.9204955791303978
Naked in the City Again (Hot Hot Heat),Party All Day (Steel Panther),0.9204952277058815
We Cant Rewind (Feeder),I Could Care Less (DevilDriver),0.9204925811113739
Leaving (The Starting Line),Escalation (Kreator),0.9204923079524983
Touch Feel & Lose (Ryan Adams),Half the World Away (Oasis),0.9204911703848634
Meantime (The Futureheads),Kate Moss (Organek),0.9204909101568367
What A Beautiful Day (Chris Cagle),Closer to You (Brandi Carlile),0.920490743910792
Route 666 (God Is An Astronaut),Felt (Garbage),0.9204903600566082
The Forbidden Zone (Misfits),Not the Same (Bodyjar),0.9204897923756259
She Is My Sin (Nightwish),Senseless (Portugal. The Man),0.9204893008093836
Something Real (Soil),The Giant (Anthrax),0.92048660405857
One Last Kiss (Madina Lake),What I Meant to Say (Daughtry),0.9204817437448195
Down Poison (3 Doors Down),Maintain Consciousness (Relient K),0.9204806167396932
The Fallen Angel (Iron Maiden),Torches (Rise Against),0.9204803040148025
Beneath The Encasing Of Ashes (As I Lay Dying),Mercenary Man (Firewind),0.9204787549580702
The World Around You (Papa Roach),The Turning (Oasis),0.9204779172166515
History Repeats (We Are Scientists),Disaster Button (Snow Patrol),0.9204730953202828
The Laws Have Changed (The New Pornographers),Tearin Us Apart (Plain White T's),0.920470127771752
Low Light (Pearl Jam),In Repair (John Mayer),0.9204655295990859
Arrows Fly (Edguy),The Church Of Hot Addiction (Cobra Starship),0.9204645388002728
Never Give Up (New Found Glory),Forget Myself (Elbow),0.9204593080016024
Roll It Over (Oasis),Running Out (Mates of State),0.9204590788919612
How Can Anybody Possibly Know How I Feel? (Morrissey),In My Heart (Moby),0.9204590478390313
Morning On Earth (Pain of Salvation),Lost in Cold Dreams (Rhapsody of Fire),0.9204522714536446
Prizefighter (Bush),Winter Hill (Doves),0.9204502209298412
Unbreakable Heart (Three Days Grace),The Rising Tide (The Killers),0.9204484560745825
Dear Diary (Róisín Murphy),Super Freak (Rick James),0.9204445377414306
Save Us Now (Edguy),Orpheus (Ash),0.9204429977756099
Divide and Conquer (Story of the Year),Insurrection (Trivium),0.9204347703816048
Healing To Suffer Again (Hatebreed),Thick As Thieves (Dashboard Confessional),0.9204327630055903
Wunderschön (Beginner),White Flag (Feat. Bashy Kano and The National Orchestra For Arabic Music) (Gorillaz),0.9204280845164213
Army of Me (Chimaira),Listen to the Math (Tokyo Police Club),0.9204258360973934
Dumpweed (blink-182),What You Deserve (Ill Niño),0.9204253152239864
Bring Me to Life (Evanescence),No More Secrets (Papa Roach),0.9204209224863852
The Edge of Infinity (Lunatica),Last One Standing (Simple Plan),0.9204186883567139
Goodbye Earl (Dixie Chicks),Cant Take It With You (Eric Church),0.9204134644136298
Bittersweet (Fuel),Hunting High And Low (Freedom Call),0.9204104285925668
This Celluloid Dream (AFI),Hard Rock Hallelujah (Lordi),0.9204088008636977
In League With Satan (Venom),California Dreamin (The Mamas & the Papas),0.9204064302980507
Ring The Bells (James),Part II (Paramore),0.9204040008599877
One of Beautys Daughters (My Dying Bride),Strawberries (Asobi Seksu),0.9203997580027445
Hopeless Case (Less Than Jake),You Aint Seen Nothin Yet (Avril Lavigne),0.9203983357102956
Nie genug (Christina Stürmer),Everybody Here is a Cloud (Cloud Cult),0.9203981203364292
Not Leavin Yet (Nickelback),Raum Der Zeit (Wizo),0.9203957680118758
Small Time Shoot em Up (Massive Attack),The Blackest Crow (Megadeth),0.9203950483974269
Sorry (Madonna),Ill Stay With You (New Order),0.920389893871495
I Really Hope (The Cranberries),All Systems Go (Box Car Racer),0.9203872072270829
Escape To The Stars (Cinema Bizarre),Sometimes (Miami Horror),0.9203870848044187
Breeding Violence (Whitechapel),Dead To Rights (DevilDriver),0.9203862915121709
Raspberry Swirl (Tori Amos),When Last I Spoke to Carol (Morrissey),0.920384714354147
Freewill (Rush),Drop the Girl (Hit the Lights),0.9203831182527706
Nice To Know You (Incubus),Dimmer Light (Dead Poetic),0.9203813832613631
Testament (VNV Nation),After Sunset (Styrofoam),0.9203797028353142
Bittersweet Memories (Bullet for My Valentine),13 (Megadeth),0.9203778021844297
The Bitter End (Placebo),The Resolution (Jack's Mannequin),0.9203756758672931
Dont Wanna Go Home (Jason Derülo),I Forgive You (Kelly Clarkson),0.9203749880177715
Returning to the Fold (The Thermals),Koi no Dependence (アンティック-珈琲店-),0.9203728604325185
Need (Archive),Bertie (Kate Bush),0.9203717273986716
Ladybug (Kim Fox),Let The Sin Begin (Drowning Pool),0.9203672790580655
Gleaming Auction (Snow Patrol),Fine Without You (Armin van Buuren),0.9203669296414776
Unretrofied (The Dillinger Escape Plan),13 (Megadeth),0.9203660877925761
Jennys Cryin (Dope),Leverage (Lyriel),0.9203638550788671
Not The Nicest Guy (Lordi),Nur Du (L'Âme Immortelle),0.9203616329202653
Without A Word (Comeback Kid),Gang Control (Leftöver Crack),0.9203592099162435
Where I Want To Be (The Dangerous Summer),Learn to Fly (Foo Fighters),0.9203573922032499
And I (Box Car Racer),Wonderland (Natalia Kills),0.9203537152531823
Our Lady of Sorrows (My Chemical Romance),Cyclopian Scape (High on Fire),0.92035266441046
Away We Go (Valencia),Congregation (Foo Fighters),0.9203515045862599
Last Man On The Moon (SR-71),Sugar Were Goin Down (Fall Out Boy),0.9203512493660309
Vox Populi (Sepultura),Stay Tonight (Matchbook Romance),0.9203500009907803
Convex Concave (Biffy Clyro),Everything Will Be Alright (The Killers),0.9203499566168628
Trembling (Yellowcard),Pioneers (Bloc Party),0.9203475606919237
Logan to Government Center (Brand New),Red Is The New Black (Funeral for a Friend),0.9203472701801243
Goodbye Earl (Dixie Chicks),Bird-Priest (Ratatat),0.9203460366559538
Talk Talk Talk (The Ordinary Boys),Cryptic (Pin Me Down),0.9203457986101701
Forthcoming Fire (Heaven Shall Burn),Lullabies (All Time Low),0.9203456008052593
All My Fault (Fenix TX),Moments Like This (Reamonn),0.9203449620833047
Decisions Decisions (The Starting Line),Die Welt steht still (Revolverheld),0.920343184975312
White Rabbit (Collide),Thanks to You (All Time Low),0.920343167861272
Violent Kiss (Eyes Set to Kill),Insatiable (Atreyu),0.9203426041297772
Demon Speeding (Rob Zombie),State of Grace (Taylor Swift),0.9203415563392385
39 (The Cure),Bring Me to Life (Evanescence),0.920339239965814
Smell the Witch (Mortiis),Valkyries Ride (Amon Amarth),0.9203355323836879
Everything Is Under Control (Coldcut),All the Things She Said (t.A.T.u.),0.9203339099032445
Over and Over (Hot Chip),Dejalo (Rilo Kiley),0.9203230166509809
Drive Away (The All-American Rejects),The Devil Made Me Do It (7Ray),0.9203209099090538
Dancing in the Street (Martha Reeves & The Vandellas),Better Version Of Me (Fiona Apple),0.920320209952976
This Cat Is a Landmine (65daysofstatic),High Rise (Ladytron),0.9203199858751719
The Never-Ending Why (Placebo),Vain Glory Opera (Edguy),0.9203108233512497
Back Into Your System (Saliva),Telegraph Avenue Kiss (Thursday),0.9203102554614283
Make Me Believe (Godsmack),Undead Son (Tarot),0.9203036467813167
Bulletproof Scales (Despised Icon),Devils Advocate (Upon a Burning Body),0.9203015539004472
Handful Of Nothing (Pain of Salvation),Terra Nova (Edenbridge),0.9202980850619511
Dont Let Me Stop You (Kelly Clarkson),No Win Situation (Hoobastank),0.9202957414421894
Mothers Talk (Tears for Fears),Close Friends (Adema),0.9202929255431171
My Friends Over You (New Found Glory),Air Hostess (Busted),0.9202928814933509
Dirty Window (Metallica),(Empty) Tankard (Tankard),0.9202901869080694
First Day Back (Braid),Limassol (Maxïmo Park),0.9202889544545357
Down Under (Men at Work),House Party (Sam Hunt),0.9202863783794505
Chicago Is So Two Years Ago (Fall Out Boy),Bhindi Bhagee (Joe Strummer and the Mescaleros),0.920285803473509
Miss Lucifer (Primal Scream),Dreaming Into Reality (Graveworm),0.9202851589934982
Calico (Alien Ant Farm),No Games (Breaking Benjamin),0.9202843170989422
Are You Gonna Go My Way (Lenny Kravitz),The Downfall of Us All (A Day to Remember),0.9202833406821939
Living in the Shadows (Billy Talent),Fallen World (DragonForce),0.9202828063065955
Strażnik Snu (Republika),Strange Things (Gentleman),0.9202818694803419
Send A Prayer (Gentleman),Strange Things (Gentleman),0.9202816521525155
Just That Sexy (Omarion),If This Is Love (The Saturdays),0.9202794431660181
Like The Average Stalker (Soilwork),Shadows Keeper (Black Rebel Motorcycle Club),0.9202765712395867
Atticus (Noisettes),Secret (Maroon 5),0.9202765635692447
Darker With the Day (Nick Cave & The Bad Seeds),Jealous Of The Moon (Nickel Creek),0.9202733661709147
Got The Time (Anthrax),Ready to Fall (Rise Against),0.9202730264260113
Not the Same (Bodyjar),Exotic-6-Cordinator (Blood Stain Child),0.9202711490812221
Morning On Earth (Pain of Salvation),Lasagna (The Knife),0.9202690332136761
Devil By His Side (Jerry Cantrell),Seed (Korn),0.9202664629024907
Violent Mood Swings (Spineshank),Ghost In The Mirror (Memphis May Fire),0.9202637025019548
I Really Hope (The Cranberries),Marches And Maneuvers (Thursday),0.9202634804802711
Heaven Beside You (Alice in Chains),Kristy Are You Doing Okay? (The Offspring),0.9202580807666307
Standing on the Edge (Feeder),Underwater (Tegan and Sara),0.9202575623159084
Run Away (Live),Smile Lines (Incubus),0.9202562417147906
Smell the Witch (Mortiis),Smoking Ruins (Ensiferum),0.9202549559129776
Poison Eye (Chris Cornell),So What (P!nk),0.9202546216060682
Half A World Away (Esthero),Southern Nights (Glen Campbell),0.9202511181825076
Hopeless (Breaking Benjamin),Deadly Weapons (Eyes Set to Kill),0.9202484954664504
Burndt Jamb (Weezer),24 (Jem),0.9202401817980711
My Coco (stellastarr*),White Wind (School of Seven Bells),0.9202401052800411
Sexx Laws (Beck),Part of Me (Katy Perry),0.9202365604729873
Somewhere On Fullerton (Allister),The Kids Arent Alright (The Offspring),0.920229127045368
Blood Brothers (Papa Roach),(k)Now F(orever) (Mudvayne),0.9202274787520875
Synthetic (Spineshank),Viva La Vida (In Extremo),0.920224309770556
Chase Scene (Broken Social Scene),Search Party (Enter Shikari),0.9202219874576347
Pointed To My Heart (I Killed the Prom Queen),Five on the Five (The Raconteurs),0.9202215074625381
Destroying Angel (Sneaker Pimps),"John Hurt (Does It Offend You, Yeah?)",0.9202171466562677
Layne (Staind),Get Some (Chevelle),0.9202170733415113
Betrayed Me (Adema),Get In Line (Air Traffic),0.9202160653105406
Belgium (Bowling for Soup),1000 Miles Per Hour (OK Go),0.9202158802046628
Maybe Ill Catch Fire (Alkaline Trio),The Queen (Lady Gaga),0.9202149306036204
Celestica (Crystal Castles),Eyes Open (Taylor Swift),0.9202127599153694
I Climb (Thousand Foot Krutch),Charlie (Red Hot Chili Peppers),0.9202076898153657
In the Void (Shackleton),Maeva (Joris Delacroix),0.9202074167058879
Live Again (Sevendust),Warrior Soul (Kiuas),0.9202046379452158
Letter From an Occupant (The New Pornographers),Common People (Pulp),0.9202042134003122
We Dont Celebrate Sundays (Hardcore Superstar),Turning Into You (The Offspring),0.9202016086989298
Angels With Dirty Faces (Sum 41),Blank Page Of The Blind (Melt-Banana),0.9201994942262196
Dancing With the Dead (Pain),Breaking the Chains (Dokken),0.9201987360462561
Break Myself (Something Corporate),I Get It (Chevelle),0.9201968633208588
Horizon (The Cinematic Orchestra),Blunt Force Trauma (Damageplan),0.9201960526513525
Do You Right (311),White Wind (School of Seven Bells),0.9201904987228872
I Feel You (Depeche Mode),New Angel (Saosin),0.9201902391622357
Last Purple Sky (Lake of Tears),Souls (Project Pitchfork),0.920187413058464
L5 (Mooncake),Fanfare for the Common Man (Aaron Copland),0.9201860408138551
Stop Or Go (The Pigeon Detectives),Breaking Up (Charli XCX),0.9201837254195897
From the Inside (Linkin Park),Make Me Believe (Godsmack),0.9201810246331098
Plans (Bloc Party),Binary (Assemblage 23),0.9201796618504088
Green Disease (Pearl Jam),Careful (Paramore),0.9201785630239107
Red Is The New Black (Funeral for a Friend),Somewhere Out There (Our Lady Peace),0.9201781266929303
So What (P!nk),Beach (Mew),0.920175671286056
Song for Children (Brian Wilson),Breakable (Ingrid Michaelson),0.9201745433626777
Same Direction (Hoobastank),All Time Lows (Hellogoodbye),0.9201721895964285
Half of You (Cat Power),Jeremiah (Starsailor),0.9201714846510721
Friends Forever (PUFFY),The Evidence (The Receiving End of Sirens),0.920170559427726
Chillin (Modjo),Keep You (Wild Belle),0.920170146468805
Superbug (Sneaker Pimps),Get Out Alive (Three Days Grace),0.9201582678410567
Cum on Feel the Noize (Quiet Riot),Congregation (Foo Fighters),0.9201535126110199
The Kids Arent Alright (The Offspring),Two Princes (Spin Doctors),0.9201529064178448
Mutt (blink-182),Constant Static (New Found Glory),0.9201522150974489
Perfect (The Smashing Pumpkins),Castles In The Air (Bag Raiders),0.9201482319723888
Light It Up (Rev Theory),Monday Morning Apocalypse (Evergrey),0.9201463761888743
Hollywood (Marina & the Diamonds),Once Bitten Twice Shy (Great White),0.9201437064990937
Reach for the Sky (Social Distortion),Chainsaw Buffet (Lordi),0.9201424837011593
94 Hours (As I Lay Dying),Lowest of the Low (Terror),0.9201418463739758
Miserable (Lit),Midnight (Red Hot Chili Peppers),0.9201385085223415
How Lester Lost His Wife (of Montreal),Last One Standing (Simple Plan),0.9201379584029581
Im Not Sorry (Morrissey),Strong Hand (CHVRCHES),0.9201379535726655
1985 (Bowling for Soup),The Pizza Song (The Bouncing Souls),0.9201347396626983
Just That Sexy (Omarion),Step by Step (New Kids on the Block),0.9201321193139868
April Fools and Eggmen (Fair to Midland),With Every Heartbeat (Robyn),0.9201290496382938
Hush Hush (The Pussycat Dolls),Kickstarts (Example),0.9201270271170162
Overboard (Justin Bieber),Por Besarte (Lu),0.9201251808086937
I love you (Him),Little Deaths (To/Die/For),0.9201246982801472
Loose Translation (The New Pornographers),Streets of Your Town (The Go-Betweens),0.9201242366929451
Belgium (Bowling for Soup),The Sun (Maroon 5),0.9201237830132497
If This Is Love (The Saturdays),Sandcastle Disco (Solange),0.9201223815558255
Another Haven (Elvenking),Simple Man (Lynyrd Skynyrd),0.9201219415442932
Wish I Could (Norah Jones),One Dove (Antony and the Johnsons),0.9201214314638438
Permanence (Static-X),Hit The Heartbrakes (Black Kids),0.9201199030277452
The Killing Lights (AFI),Deadly Weapons (Eyes Set to Kill),0.9201193888618872
Descent (Fear Factory),Blow It Away (Adema),0.9201139775815571
Wonder Whats Next (Chevelle),GPS (Basshunter),0.9201106405143253
Online Songs (blink-182),Shame on You (Hot Hot Heat),0.9201104985281178
Yellow Kanji (Llewellyn),The Flying Dutchman (Richard Wagner),0.9201103409606554
Servant in Heaven - King in Hell (Kreator),In Words Of Desperation (Kataklysm),0.9201090561463318
Washington (Palomar),Make Me Believe (Godsmack),0.9201081098819747
Underwater (Tegan and Sara),Make Me Bad (Korn),0.9201077902633654
Nightquest (Nightwish),Definition Of Destiny (Billy Talent),0.920105632174499
Dead Man Walking (Fear Factory),The Story So Far (New Found Glory),0.9201050985799677
New Thing (Fuel),Going To Hell (The Brian Jonestown Massacre),0.9200983110036384
I Wont Be Crying (Infernal),Sugar Rush (AKB48),0.920097258130748
Confessions of a Broken Heart (Daughter to Father) (Lindsay Lohan),Just A Little Bit (Kids of 88),0.9200888135671468
All That We Needed (Plain White T's),Suspended In Gaffa (Ra Ra Riot),0.920086427860028
Hotel California (Gipsy Kings),A Mi Manera (Gipsy Kings),0.9200820552704801
Bullets (Editors),Makin Out (Mark Owen),0.9200761615310078
Heaven Beside You (Alice in Chains),Sterne sehen (Zeraphine),0.9200752147591904
No Girl So Sweet (PJ Harvey),My Coco (stellastarr*),0.9200720972786506
Dont Let Go (Weezer),Kain (Theatres Des Vampires),0.9200720812246158
Simple Kind of Life (No Doubt),Kelsey (Metro Station),0.9200696150872443
Breakout (Foo Fighters),Dead Living (Sugarcult),0.920068525681772
From the Inside (Linkin Park),Remember A Time (Story of the Year),0.9200670168971434
Stronger Than All (HammerFall),Shes Just Killing Me (ZZ Top),0.9200668734900502
Prisoners of Today (Billy Talent),Careful (Paramore),0.9200634675403885
Made In Heaven (Hyde),Great Depression (Soulfly),0.9200632253887213
A Place To Crash (Robbie Williams),Nine Lives (Edguy),0.9200587734724828
The Innocent (Goldfinger),Hail The Shrine (Unearth),0.9200569033322421
My Song (Jerry Cantrell),Not If You Were The Last Junkie On Earth (The Dandy Warhols),0.9200566939676778
Demon Speeding (Rob Zombie),Starlady (Pentagram),0.9200527836148262
Sugar Daddy (The Jackson 5),Limbo Rock (Chubby Checker),0.9200509111863449
Cry For You (September),In My House (Mary Jane Girls),0.9200504905158664
Auf der guten Seite (Sportfreunde Stiller),The Last Something That Meant Anything (Mayday Parade),0.9200504055261135
Shes Madonna (Robbie Williams),The End Of The World (The Cure),0.9200437995246622
On Earth (Samael),The Evidence (The Receiving End of Sirens),0.9200424567815031
The Bitch Is Back (Elton John),Walking In L.A. (Missing Persons),0.920040564306738
Mechanical Animals (Marilyn Manson),Skeleton Man (Evangelicals),0.9200393443352151
Your Love Is Evil (Avantasia),Fallen World (DragonForce),0.9200354739027492
Street Justice (MSTRKRFT),Walking on Air (Katy Perry),0.9200351218625652
La Cerca (Sparta),The Older I Get (Skillet),0.9200328749397892
Keep Forgetting (The Cinematics),Cryptic (Pin Me Down),0.9200320609869593
At a Glance (AFI),Dirty Window (Metallica),0.920029387962043
Must Kill (Cavalera Conspiracy),Back Round (Wolfmother),0.920028283138183
Agoraphobia (Incubus),Jackson Cannery (Ben Folds Five),0.9200269705987943
Jackie Collins Existential Question Time (Manic Street Preachers),Brick by Brick (Arctic Monkeys),0.9200242080268597
Wie tief? (Eisbrecher),Seaweed Song (Passion Pit),0.9200228088461682
Disengage (Suicide Silence),This Ones for You (Of Mice & Men),0.9200222264958899
Break Myself (Something Corporate),Ten Feet Tall (Afrojack),0.9200186780985216
We Damn The Night (Helloween),On The Edge Of Honour (HammerFall),0.9200175261124777
Night Is the Day Turned Inside Out (Beulah),This Ones For The Girls (Martina McBride),0.9200152329071255
All New Low (The Hellacopters),Guns Of Memorial Park (Sparta),0.9200142458700207
A Boy Brushed Red Living In Black And White (Underoath),Godspeed (Anberlin),0.9200110760077193
Push It (Static-X),Sleeping Dogs Lie (Xandria),0.9200075907047988
The Fall Through Ginnungagap (Amon Amarth),Suffocated (Ghost Brigade),0.9200073688318169
Bring Her Down (To Crippletown) (Rob Zombie),Love Like Blood (Dead by April),0.920007008191166
Dreaming 24/7 (Scar Symmetry),Harakiri (Serj Tankian),0.9200053999692768
Florida (Modest Mouse),Were Not Gonna Take It (Twisted Sister),0.9200045175065081
Te Miro Y Tiemblo (Jarabe de Palo),Ocean and a Rock (Lisa Hannigan),0.9199843340474728
Fool (Shakira),Georges Helper (Pete Murray),0.9199832226305621
Meantime (The Futureheads),Running Out of Time (Poets of the Fall),0.9199716807039996
Tune Me Out (MU330),Brand New Lover (Dead or Alive),0.91997150548531
Wenn du lachst (Juli),Hummingbird (Wilco),0.9199709834436379
Alles was ich will (We Butter the Bread With Butter),Sea of Fate (Rhapsody of Fire),0.9199697432059046
Lamb of God (Marilyn Manson),Birmingham (Shovels & Rope),0.9199672558889824
Drowned In Fear (Graveworm),Black Breath (Repulsion),0.9199628552766582
Look Out Sunshine! (The Fratellis),Love Like Blood (Dead by April),0.9199562802851233
Final Day (Tokio Hotel),GIRL (Boom Boom Satellites),0.9199536079084175
Saying Goodbye (Sugarcult),Barretts Privateers (Alestorm),0.9199509832804748
Scary Kids Scaring Kids (Cap'n Jazz),Art Is Hard (Cursive),0.9199507067299787
Cells (The Servant),Down South (Summerset Avenue),0.9199462994422285
Bleeding (Bathory),Your Love (The Outfield),0.9199451686855342
Wetsuit (The Vaccines),All These Things That Ive Done (The Killers),0.9199387565285609
Backbone (Gojira),All In A Year (Comeback Kid),0.9199374041055326
The Dance of Victory (Eluveitie),Sea of Fate (Rhapsody of Fire),0.9199363365684081
Outsmarted (The Hives),Armageddon (Alkaline Trio),0.9199354147066195
Raspberry Swirl (Tori Amos),Timber (Pitbull),0.9199349521923157
Little Room (The White Stripes),Pink (Aerosmith),0.9199325580085244
Dog Bite (Dead Kennedys),Natural Disasters (Propagandhi),0.919930607557183
I Know You By Heart (Eva Cassidy),Away In A Manger (Mannheim Steamroller),0.9199300947545005
Bird-Priest (Ratatat),Sandcastle Disco (Solange),0.9199286292295328
Freak Me (Silk),Kickstarts (Example),0.9199270937905655
107 (Orgy),Apartment (Young the Giant),0.9199217770734074
Outsmarted (The Hives),Streets (Avenged Sevenfold),0.9199211795155561
El camino (Callaghan),Never Follow Suit (The Radio Dept.),0.9199198551540104
New Model No. 15 (Marilyn Manson),Sleeping Dogs Lie (Xandria),0.9199188331359238
I love you (Him),Only Ashes (Something Corporate),0.9199186900839821
The Blue Cafe (Chris Rea),Superpowers (Five Iron Frenzy),0.9199175222252608
Unified (G. Love & Special Sauce),The One Im Waiting For (Relient K),0.9199170962098109
The Terrible Secret (Emery),Close Call (Rilo Kiley),0.9199138958880201
Platinum (Orgy),Walk By (Good Charlotte),0.9199102081064089
Home In Despair (Sentenced),Hover (TRUSTcompany),0.9199089700613181
Blow It Away (Adema),Fat Lip (Sum 41),0.9199081655996342
Smile Lines (Incubus),Welcome To The Future (Brad Paisley),0.9199072647700144
From the Inside (Linkin Park),Thanks to You (All Time Low),0.9199026859522166
All I Have To Do Is Dream (The Everly Brothers),Lonely This Christmas (MUD),0.9198992684048538
Killing It (A Wilhelm Scream),Surfacing (Slipknot),0.9198988978546986
Second Sight (Placebo),A Boy Brushed Red Living In Black And White (Underoath),0.9198972429312604
Vision Of Nowness (The Go-Go's),The Never-Ending Why (Placebo),0.9198897332443648
Watershed (Coal Chamber),Turning Into You (The Offspring),0.919887807056935
Intuition (Feist),Chuva (Mariza),0.9198871183275952
Ready to Roll (Rae & Christian),Transmissions (God Is An Astronaut),0.919884939590477
Year 3000 (Busted),Humanitarianism (Zeigeist),0.9198839897597963
Naked (Avril Lavigne),The Sun (Maroon 5),0.9198838214437187
As I Sat Sadly by Her Side (Nick Cave & The Bad Seeds),Song For You (Michael Bublé),0.9198837802041495
A Story To Tell Your Friends (Every Avenue),Give Me All Your Lovin (The Perms),0.9198830195172516
Emotions (Mariah Carey),Down Under (Men at Work),0.919880424688193
Rescue (Echo & the Bunnymen),Cryptic (Pin Me Down),0.919875311959664
To What End (Thrice),Get Up Again (Flaw),0.9198723513823945
Holy Shadows (Edguy),Not The Nicest Guy (Lordi),0.919870838746718
Crazy For This Girl (Evan and Jaron),Can You Heal Me (Soil),0.9198683614465437
